plantID	nShoots	heightIndex	finalShootHeight	abovegroundVolume	nFlowers	FFDindex	FFD	nPodsTotal	fruitsPerFlower	seedsPerFruit	nIntactSeeds	propPredSeeds	Mum	Dad	grazingY0
ind317:3	3	model	226.2286856	3857.121934	8	noBudSize15	119.3048068	6	0.75	8.6	48	0	32:5:1	39:2:3	0
ind246:4	1	model	192.0661236	684.3840183	7	observed	133	4	0.571428571	9.333333333	0	1	39:5:2	8:5:1	1
ind122:1	2	model	263.8641022	4651.465468	4	noBudSize	128.9149382	3	0.75	7	1	0.962962963	19:1:4	8:5:1	0
ind244:1	1	observed	272	1935.493765	24	noBudSize	128.9149382	7	0.291666667	5.4	22.4	0.406666667	39:5:2	35:2:2	0
ind131:1	2	observed	244	2571.042357	7	observed	133	0	0	NA	NA	NaN	19:2:4	11:6:1	1
ind100:7	2	model	196.4715942	1493.705595	13	noBudSize	124.1098725	4	0.307692308	3.75	9	0.5	14:2:2	31:1:2	0
ind223:3	2	observed	143	802.3789429	3	observed	136	2	0.666666667	4.5	1	0.9	39:2:2	19:6:2	1
ind461:3	2	observed	234	1944.425941	32	noBudSize	128.9149382	8	0.25	5.2	35.2	0.186666667	13:7:1	21:4:1	0
ind56:1	9	model	110.6284619	735.7711138	13	noBudSize	132.666143	0	0	NA	NA	NaN	12:7:5	19:6:2	0
ind397:1	6	observed	154	1811.657209	16	noBudSize	124.1098725	0	0	NA	NA	NaN	19:1:4	2:4:1	0
ind594:1	2	observed	115	2747.558395	3	noBudSize	132.666143	1	0.333333333	3	2	0.333333333	39:4:2	8:3:2	0
ind569:3	2	observed	228	1765.064877	9	observed	121	7	0.777777778	5	23.8	0.305	13:6:2	8:3:2	1
ind557:5	4	model	185.6967285	2404.064974	40	observed	129	14	0.35	5.8	5.6	0.937777778	12:3:4	8:3:2	1
ind372:2	1	observed	234	1261.561194	11	noBudSize15	119.3048068	4	0.363636364	5.25	0	1	38:2:1	16:1:1	0
ind465:1	5	model	212.4826941	5049.561478	20	observed	133	8	0.4	7.2	9.648714342	0.830434523	13:7:1	14:2:2	0
ind267:2	1	model	176.6194978	495.509671	3	noBudSize	124.1098725	0	0	NA	NA	NaN	6:2:3	4:1:4	0
ind250:1	2	model	195.844833	1475.435486	6	model	129.6871576	3	0.5	7.666666667	0	1	6:1:1	13:8:4	0
ind577:5	7	model	183.7677705	4041.264345	14	noBudSize15	119.3048068	0	0	NA	NA	NaN	12:4:6	14:5:5	0
ind67:2	3	model	198.3467961	2324.053128	14	noBudSize	124.1098725	9	0.642857143	4.6	3.6	0.9	12:8:2	8:5:1	0
ind187:4	3	model	235.0041526	4466.047653	8	noBudSize	124.1098725	7	0.875	3.8	4.2	0.87	22:4:1	19:3:4	0
ind289:2	4	observed	145	1195.495385	23	observed	129	12	0.52173913	3.2	7.2	0.766666667	6:1:1	11:3:1	0
ind216:6	2	model	190.7995164	1334.326334	11	observed	121	0	0	NA	NA	NaN	38:2:1	18:4:2	0
ind492:1	1	observed	251	1415.901986	17	observed	121	9	0.529411765	6	1.8	0.977777778	39:3:2	12:10:2	1
ind421:3	4	model	222.0836643	4789.267226	33	model	119.6625064	13	0.393939394	4.4	0	1	15:3:1	13:6:1	0
ind431:2	3	model	216.7053858	3268.299771	20	model	126.6458589	6	0.3	3.4	15.6	0.266666667	129_25_2:4:2 T2	6:5:1	0
ind245:3	3	model	186.3378185	1827.142745	7	noBudSize15	119.3048068	3	0.428571429	4.333333333	3	0.702380952	39:5:2	8:5:1	0
ind204:5	3	model	198.970186	2352.313379	10	noBudSize15	119.3048068	6	0.6	4	24	0	32:5:1	4:1:4	0
ind143:1	3	model	179.8836992	1595.167916	3	model	131.2591416	0	0	NA	NA	NaN	19:5:1	8:3:1	0
ind164:2	5	observed	151	3136.840995	31	observed	129	3	0.096774194	4.666666667	9	0.333333333	19:6:5	8:4:1	0
ind147:1	3	observed	279	4792.287536	13	noBudSize	128.9149382	8	0.615384615	4.4	28.8	0.2	19:5:5	11:3:1	0
ind43:2	9	observed	225	7767.825419	4	noBudSize15	119.3048068	2	0.5	2.5	0	1	12:4:5	5:1:1	0
ind240:5	3	model	248.7628231	5560.297719	10	noBudSize	128.9149382	8	0.8	3.4	9.6	0.566666667	39:5:2	31:1:2	0
ind307:1	6	observed	169	4898.140044	29	observed	121	0	0	NA	NA	NaN	32:5:1	11:8:1	0
ind478:3	5	observed	164	2524.841467	13	observed	129	10	0.769230769	5.8	16	0.75	2:1:3	14:2:2	0
ind298:3	7	model	169.3458038	2949.866527	6	noBudSize	124.1098725	2	0.333333333	8.5	10	0.388888889	19:5:2	39:2:3	0
ind187:5	1	model	247.0609794	1805.06863	4	noBudSize	128.9149382	1	0.25	8	2	0.75	22:4:1	19:3:4	0
ind446:3	5	observed	232	8309.248675	20	model	125.813941	6	0.3	5	0	1	12:6:1	8:5:1	0
ind436:1	2	observed	217	4104.294924	12	observed	125	11	0.916666667	3.8	0	1	14:2:2	6:4:2	1
ind120:1	3	model	253.2770718	5959.106922	8	observed	129	3	0.375	9	1	0.972222222	19:1:4	8:5:1	1
ind247:2	1	observed	185	414.9875035	8	noBudSize	132.666143	3	0.375	4	1	0.916666667	39:5:2	8:5:1	0
ind275:1	2	observed	202	1782.247189	9	noBudSize	124.1098725	6	0.666666667	2.6	0	1	39:5:3	23:1:2	0
ind244:2	2	model	221.4888342	2370.023919	22	model	128.8095175	0	0	NA	NA	NaN	39:5:2	35:2:2	0
ind255:1	6	model	240.7775531	9807.352589	41	observed	118	11	0.268292683	3	0	1	6:1:1	4:1:4	0
ind236:2	2	observed	112	813.2326743	18	observed	118	7	0.388888889	5.4	15.4	0.602380952	39:5:2	15:3:2	1
ind73:1	7	observed	204	10228.97164	54	noBudSize	124.1098725	19	0.351851852	5.2	30.4	0.691428571	12:9:2	13:6:1	0
ind272:2	3	model	209.4444961	2866.250698	25	observed	118	13	0.52	5	41.6	0.343333333	9:7:3	35:2:2	1
ind83:2	3	model	268.8161176	7495.201723	30	observed	121	12	0.4	5.8	24	0.657857143	129_25_2:4:2 T2	19:3:4	1
ind61:4	7	model	207.6125452	6465.400435	4	noBudSize	142.6498081	0	0	NA	NA	NaN	12:8:2	10:3:1	0
ind594:4	2	observed	196	1531.036958	5	noBudSize	124.1098725	3	0.6	7	11	0.476190476	39:4:2	8:3:2	0
ind364:1	2	observed	229	1725.216444	7	noBudSize	128.9149382	0	0	NA	NA	NaN	16:1:1	12:3:1	0
ind502:1	2	model	193.959397	1421.471657	7	observed	129	4	0.571428571	5.25	13	0.431547619	9:7:3	12:10:2	1
ind256:8	3	model	290.9058971	10159.7991	22	noBudSize15	119.3048068	13	0.590909091	4.2	54.6	0	6:2:3	13:8:4	0
ind117:3	6	model	201.4554869	4935.031468	10	observed	124	5	0.5	4.6	21	0.083333333	16:5:1	31:1:2	0
ind579:6	2	observed	194	1146.898717	4	noBudSize	124.1098725	2	0.5	5	5	0.583333333	12:4:6	8:3:2	0
ind467:2	3	model	222.6778168	3629.105451	19	noBudSize	124.1098725	12	0.631578947	5.6	60	0.2	2:1:3	21:4:1	0
ind387:1	1	observed	209	2613.256016	7	observed	134	1	0.142857143	4	2	0.5	19:4:2	16:1:2	1
ind134:2	6	model	222.6778168	7258.210903	13	model	139.8023211	0	0	NA	NA	NaN	19:5:1	11:6:1	0
ind161:4	3	observed	226	3968.668913	23	noBudSize15	119.3048068	11	0.47826087	4.2	26.4	0.436666667	19:6:5	6:1:2	0
ind523:6	2	model	236.1636276	3034.344977	26	observed	121	14	0.538461538	3.8	16.8	0.666666667	32:8:3	9:6:2	1
ind249:5	2	observed	292	3910.825438	11	noBudSize15	119.3048068	8	0.727272727	6.8	10.49430257	0.767373388	6:1:1	13:8:4	0
ind316:1	1	model	247.6288138	1821.100492	21	observed	118	0	0	NA	NA	NaN	32:5:1	39:2:3	0
ind305:8	2	observed	274	3899.450673	11	noBudSize15	119.3048068	5	0.454545455	7	21	0.373593074	32:5:1	22:4:1	0
ind407:2	6	model	193.959397	4264.41497	17	noBudSize	124.1098725	0	0	NA	NA	NaN	19:1:4	24:4:4	0
ind401:2	3	model	220.8933231	3518.361184	49	observed	124	24	0.489795918	4.8	81.6	0.244285714	19:1:4	27:4:4	1
ind247:4	2	observed	289	3610.072605	17	noBudSize	124.1098725	4	0.235294118	10.25	28.7442577	0.264455858	39:5:3	15:3:2	0
ind312:1	2	observed	153	1260.324192	3	observed	129	2	0.666666667	10	20	0	32:5:1	11:3:1	1
ind103:1	2	model	208.8346066	1889.491006	12	model	126.3125819	0	0	NA	NA	NaN	14:2:2	9:1:6	0
ind111:1	5	model	188.8928591	3209.239256	10	noBudSize	124.1098725	5	0.5	4.6	5	0.8	15:3:1	8:4:1	0
ind80:1	5	model	190.1648691	3293.280814	4	noBudSize15	119.3048068	0	0	NA	NA	NaN	12:9:2	8:3:1	0
ind74:4	5	model	172.6681934	2270.7766	6	noBudSize	124.1098725	2	0.333333333	5	0	1	12:9:2	13:6:1	0
ind145:3	10	model	168.6779994	4150.446839	2	noBudSize	124.1098725	2	1	5.5	3	0.75	19:5:5	11:3:1	0
ind150:1	4	observed	129	2295.585628	11	model	120.0740437	6	0.545454545	4.6	3.6	0.866666667	19:5:5	21:1:2	0
ind592:1	3	model	240.2028821	4858.750415	29	observed	124	15	0.517241379	4.2	15	0.766666667	39:4:2	8:3:2	0
ind174:3	3	observed	190	1684.876981	7	observed	129	4	0.571428571	3.75	13	0.138888889	2:4:1	8:4:1	0
ind198:1	4	observed	258	3608.56464	3	noBudSize	128.9149382	1	0.333333333	12	3	0.75	22:4:1	98_30_1:4:1 T2	0
ind310:3	5	model	161.2558302	1744.984153	9	noBudSize	128.9149382	3	0.333333333	6	16	0.111111111	32:5:1	11:8:1	0
ind170:2	7	model	145.2406137	1632.856697	17	noBudSize	128.9149382	0	0	NA	NA	NaN	2:4:1	21:4:1	0
ind183:2	9	model	173.9895346	4209.194305	4	noBudSize	124.1098725	0	0	NA	NA	NaN	21:5:3	5:1:1	0
ind601:2	2	model	193.959397	1421.471657	29	model	125.7530538	14	0.482758621	3	25.2	0.4	12:8:2	31:3:5	0
ind571:1	4	model	174.6486042	1898.195241	4	noBudSize	128.9149382	4	1	7.5	12	0.541071429	13:6:2	9:7:3	0
ind483:1	1	model	179.8836992	531.7226387	2	observed	129	2	1	8	9	0.452380952	4:1:6	32:2:2	1
ind242:1	2	observed	253	3600.587665	56	observed	125	14	0.25	3.6	8.4	0.866666667	39:5:2	31:1:2	0
ind185:2	5	observed	154	1254.023256	2	noBudSize	132.666143	1	0.5	6	1	0.833333333	22:4:1	19:3:4	0
ind248:4	4	model	225.0477163	5040.191129	4	observed	133	1	0.25	7	0	1	39:5:3	15:3:2	0
ind449:2	4	model	187.617191	2501.249086	13	observed	133	0	0	NA	NA	NaN	21:5:3	8:5:1	0
ind482:5	2	observed	244	783.7576237	3	model	147.9973102	3	1	6	8	0.541666667	4:1:6	24:3:2	0
ind530:3	2	model	159.8907699	675.5087313	1	noBudSize	132.666143	0	0	NA	NA	NaN	32:8:3	39:3:3	0
ind530:8	3	observed	203	1515.469424	3	observed	129	1	0.333333333	7	4	0.428571429	32:8:3	39:3:3	1
ind499:2	3	model	198.3467961	2324.053128	25	model	126.2408652	0	0	NA	NA	NaN	39:3:2	14:2:2	0
ind106:1	5	model	185.6967285	3005.081218	28	model	125.4917075	0	0	NA	NA	NaN	15:3:1	21:4:1	0
ind605:2	4	observed	292	6393.528094	21	noBudSize	124.1098725	11	0.523809524	3.2	19.8	0.383333333	12:8:2	9:7:3	0
ind310:8	3.5	model	221.4888342	4147.541858	33	observed	121	21	0.636363636	5.6	68.65271394	0.401803858	32:5:1	11:8:1	0
ind233:4	1	observed	210	1474.523005	6	observed	129	3	0.5	5.333333333	3.031782268	0.832009072	39:5:2	11:1:2	1
ind603:1	5	model	131.4210548	793.53887	3	model	131.3914361	0	0	NA	NA	NaN	12:8:2	9:7:3	0
ind559:1	6	observed	194	2673.222344	37	observed	124	4	0.108108108	4.25	7	0.558333333	12:3:4	9:7:3	0
ind557:3	1	model	251.5882742	1935.83774	13	model	131.2029202	0	0	NA	NA	NaN	12:3:4	8:3:2	0
ind423:4	3	observed	162	1392.492565	4	observed	133	3	0.75	5.333333333	4	0.785714286	15:3:1	6:4:2	0
ind395:1	3	observed	216	1995.240574	4	observed	134	3	0.75	6.333333333	2	0.939393939	21:2:4	16:1:2	1
ind77:1	3	model	184.4117105	1755.463271	12	model	128.9109396	0	0	NA	NA	NaN	12:9:2	39:2:3	0
ind438:2	3	observed	210	2549.659264	10	observed	118	2	0.2	7.5	9.208347783	0.370906835	32:2:2	6:5:1	0
ind523:3	2	observed	219	1190.117607	22	observed	125	11	0.5	3.4	4.4	0.9	32:8:3	9:6:2	1
ind304:4	3	observed	276	6089.239713	37	observed	118	27	0.72972973	4.6	58.96158297	0.563247534	32:5:1	22:4:1	0
ind579:5	4	model	195.2172165	2914.613525	47	observed	125	18	0.382978723	3	13.5	0.770833333	12:4:6	8:3:2	1
ind564:3	2	model	176.6194978	991.0193421	2	observed	139	2	1	9.5	4	0.788888889	13:6:2	31:3:5	1
ind484:2	2	observed	224	2287.959098	19	observed	129	10	0.526315789	4.2	30	0.35	4:1:6	12:10:2	1
ind466:3	4	model	177.9282364	2039.207788	32	observed	121	5	0.15625	4.2	8.349867712	0.539649472	13:7:1	14:2:2	0
